Name,Value(The authors cited by this author and the number of citations)
Stefan Szeider,"{'Georg Gottlob': 1, 'Sebastian Ordyniak': 1, 'Naomi Nishimura': 1, 'Fahiem Bacchus': 1, 'Friedrich Slivovsky': 1, 'Tian Sang': 1, 'Paul Beame': 1, 'AAAI Press': 1, 'Marko Samer': 1, 'Serge Gaspers': 1, 'Prabhakar Ragde': 1, 'Petr Hlin¡¦eny': 1, 'BinhMinh BuiXuan': 1, 'Dan Roth': 1, 'Petr Hlineny': 1, 'Robert Ganian': 1, 'Shannon Dalmao': 1, 'Daniel Paulusma': 1}"
Tanneke Ouboter,{'AL Barabasi': 1}
Nelly Litvak,{'AL Barabasi': 1}
XinShe Yang,{'Scha?er JD': 1}
Mehmet Karamanoglu,{'Scha?er JD': 1}
Puneet Mittal,"{'Yvonne Freer': 1, 'Kou Onodera': 1, 'Michael Frantzis': 1, 'PeiYu Chi': 1, 'Giuseppe Rizzo': 1, 'Rimpi Kumari': 1, 'Eugene Charniak': 1, 'Inna Novalija': 1, 'Steven Pinker': 1, 'Vilmos Zsombori': 1, 'Ramandeep Ghuman': 1, 'James Hunter': 1, 'Drew McDermott': 1, 'Frank Schilder': 1, 'KeThia Yao': 1, 'Johannes Gehrke': 1, 'Jerome Budzik': 1, 'Kristian Hammond': 1, 'Paul Albrecht': 1, 'Vuk Milicic': 1, 'Raghu Ramakrishnan': 1, 'Marko Grobelnik': 1, 'Elena Rishes': 1, 'Taisuke Akimoto': 1, 'Sally Ahn': 1}"
Rupinder Kaur,"{'Yvonne Freer': 1, 'Kou Onodera': 1, 'Michael Frantzis': 1, 'PeiYu Chi': 1, 'Giuseppe Rizzo': 1, 'Rimpi Kumari': 1, 'Eugene Charniak': 1, 'Inna Novalija': 1, 'Steven Pinker': 1, 'Vilmos Zsombori': 1, 'Ramandeep Ghuman': 1, 'James Hunter': 1, 'Drew McDermott': 1, 'Frank Schilder': 1, 'KeThia Yao': 1, 'Johannes Gehrke': 1, 'Jerome Budzik': 1, 'Kristian Hammond': 1, 'Paul Albrecht': 1, 'Vuk Milicic': 1, 'Raghu Ramakrishnan': 1, 'Marko Grobelnik': 1, 'Elena Rishes': 1, 'Taisuke Akimoto': 1, 'Sally Ahn': 1}"
Krzysztof Wo?k,"{'Karliner LS': 1, 'KenLM Faster': 1, 'Costajuss¨¤ MR': 1, 'Jacobs EA': 1, 'Turner AM': 1}"
Krzysztof Marasek,"{'Karliner LS': 1, 'KenLM Faster': 1, 'Costajuss¨¤ MR': 1, 'Jacobs EA': 1, 'Turner AM': 1}"
Albert Sa¨¤Garriga,"{'TY Liang': 1, 'SJ Min': 1, 'Inline Phase': 1, 'HF Li': 1, 'Nanos Mercurium': 1}"
David CastellsRufas,"{'TY Liang': 1, 'SJ Min': 1, 'Inline Phase': 1, 'HF Li': 1, 'Nanos Mercurium': 1}"
Jordi Carrabina,"{'TY Liang': 1, 'SJ Min': 1, 'Inline Phase': 1, 'HF Li': 1, 'Nanos Mercurium': 1}"
URSULA GOLTZ,"{'Since Gi': 1, 'If Gexecutei': 1, 'By Lemma': 1, 'By Observation': 1, 'If Mexecutei': 1, 'Hence Gexecutek': 1, 'As Gexecutek': 1, 'Distributed Systems': 1, 'Distributable Systems': 1}"
RYUTA ARISAKA,{'Michael Mendler': 1}
ANUPAM DAS,{'Michael Mendler': 1}
PETR JAN,"{'Elsevier Science': 1, 'College Publications': 1, 'In Press': 1}"
PRATEEK KARANDIKARb,"{'Elsevier Science': 1, 'College Publications': 1, 'In Press': 1}"
THOMAS PLACE,"{'YF Chen': 1, 'In Russian': 1, 'VIII Salg¨®tarj¨¢n': 1, 'VIII Salgotarjan': 1, 'Wim Martens': 1}"
Hanae Sbai,{'La Rosa': 1}
Mounia Fredj,{'La Rosa': 1}
Laila Kjiri,{'La Rosa': 1}
Paris Diderot,"{'By Proposition': 1, 'JP Coleman': 1, 'GD Plotkin': 1, 'HP Barendregt': 1, 'DS Scott': 1, 'Logic LNM': 1, 'HP Sankappanavar': 1, 'HB Curry': 1}"
Reza Tavoli,"{'Prabhakar Raghavan': 1, 'Yue Lu': 1, 'Proposed System': 1, 'Le Bourgeois': 1, 'Marcello Pelillo': 1, 'David Doermann': 1, 'Shuyong Bai': 1, 'Shijian Lu': 1, 'Massimo Rabbi': 1, 'Linlin Li': 1}"
Fariborz Mahmoudi,"{'Prabhakar Raghavan': 1, 'Yue Lu': 1, 'Proposed System': 1, 'Le Bourgeois': 1, 'Marcello Pelillo': 1, 'David Doermann': 1, 'Shuyong Bai': 1, 'Shijian Lu': 1, 'Massimo Rabbi': 1, 'Linlin Li': 1}"
LiMinn Ang,"{'EO Wilson': 1, 'Simulation Results': 1, 'Simulation Environment': 1, 'IF Akyildiz': 1, 'TC Camilo': 1, 'LD Kuhn': 1, 'AM Zungeru': 1, 'LM Ang': 1, 'MC Vuran': 1, 'CE Torres': 1, 'Future Work': 1, 'MPJ Fromherz': 1, 'Static Scenario': 1, 'KP Seng': 1, 'JS Silva': 1, 'Dynamic Scenario': 1}"
Enhong Chen,"{'Burke Jeff': 1, 'Miklos Kurucz': 1}"
Santa Fe,{'RELATED WORK': 1}
Deepali Virmani,"{'Gautam Thaker': 1, 'Tian He': 1, 'Anis Koubaa': 1, 'Tarek Abdelzaher': 1, 'Mario Alves': 1, 'Ting Yan': 1, 'Qing Cao': 1}"
Satbir Jain,"{'Gautam Thaker': 1, 'Tian He': 1, 'Anis Koubaa': 1, 'Tarek Abdelzaher': 1, 'Mario Alves': 1, 'Ting Yan': 1, 'Qing Cao': 1}"
Jia Zeng,{'HA Loeliger': 1}
XiaoQin Cao,{'HA Loeliger': 1}
ZhiQiang Liu,{'HA Loeliger': 1}
Cyril Roussillon,"{'NM Kwok': 1, 'ID Reid': 1, 'JMM Montiel': 1, 'AJ Davison': 1, 'OG Grasa': 1}"
Aur¨¦lien Gonzalez,"{'NM Kwok': 1, 'ID Reid': 1, 'JMM Montiel': 1, 'AJ Davison': 1, 'OG Grasa': 1}"
Nafiza Saidin,"{'CH Yip': 1, 'Performance Evaluation': 1}"
Sakyoud Zakaria,"{'Van Krevelen': 1, 'Geographic Object': 1, 'Kun Qian': 1, 'Smart Object': 1, 'Integrating RFID': 1, 'Spatial Analysis': 1, 'Xudong Ma': 1}"
Ga?tan Rey,"{'Van Krevelen': 1, 'Geographic Object': 1, 'Kun Qian': 1, 'Smart Object': 1, 'Integrating RFID': 1, 'Spatial Analysis': 1, 'Xudong Ma': 1}"
Eladnani Mohamed,"{'Van Krevelen': 1, 'Geographic Object': 1, 'Kun Qian': 1, 'Smart Object': 1, 'Integrating RFID': 1, 'Spatial Analysis': 1, 'Xudong Ma': 1}"
Uplink Framework,"{'Henri Poincar¨¦': 1, 'DA Schmidt': 1, 'NA Lynch': 1, 'MetaMODELING Time': 1}"
MINGHSIEN TSAI,"{'AP Sistla': 1, 'YF Chen': 1, 'DE Muller': 1, 'Stanford University': 1, 'GHz CPU': 1, 'YK Tsay': 1, 'In Section': 1, 'MY Vardi': 1, 'Experimental Results': 1, 'For Rank': 1, 'MO Rabin': 1, 'Optimization Techniques': 1, 'MH Tsai': 1, 'PA Abdulla': 1, 'CS Altho?': 1}"
SETH FOGARTY,"{'AP Sistla': 1, 'YF Chen': 1, 'DE Muller': 1, 'Stanford University': 1, 'GHz CPU': 1, 'YK Tsay': 1, 'In Section': 1, 'MY Vardi': 1, 'Experimental Results': 1, 'For Rank': 1, 'MO Rabin': 1, 'Optimization Techniques': 1, 'MH Tsai': 1, 'PA Abdulla': 1, 'CS Altho?': 1}"
ZiKe Zhang,"{'GQ Zhang': 1, 'Guido Caldarelli': 1, 'Yue Xu': 1, 'MS Shang': 1, 'Ste?en Rendle': 1, 'CS Firan': 1, 'RQ Su': 1, 'New York': 1, 'YC Zhang': 1, 'SS Lee': 1, 'ZK Zhang': 1, 'EK Jacob': 1, 'Andrea Capocci': 1, 'HS Yong': 1, 'Huizhi Liang': 1}"
Tao Zhou,"{'GQ Zhang': 1, 'Guido Caldarelli': 1, 'Yue Xu': 1, 'MS Shang': 1, 'Ste?en Rendle': 1, 'CS Firan': 1, 'RQ Su': 1, 'New York': 1, 'YC Zhang': 1, 'SS Lee': 1, 'ZK Zhang': 1, 'EK Jacob': 1, 'Andrea Capocci': 1, 'HS Yong': 1, 'Huizhi Liang': 1}"
YiCheng Zhang,"{'GQ Zhang': 1, 'Guido Caldarelli': 1, 'Yue Xu': 1, 'MS Shang': 1, 'Ste?en Rendle': 1, 'CS Firan': 1, 'RQ Su': 1, 'New York': 1, 'YC Zhang': 1, 'SS Lee': 1, 'ZK Zhang': 1, 'EK Jacob': 1, 'Andrea Capocci': 1, 'HS Yong': 1, 'Huizhi Liang': 1}"
Lattice Theory,"{'SA Obiedkov': 1, 'HJ Hermes': 1, 'Learning Theory': 1, 'SO Kuznetsov': 1, 'PL Hammer': 1, 'KJ Raiha': 1, 'In Expansion': 1, 'JB Nation': 1, 'Lattice Theory': 1, 'The Drelation': 1}"
