Name（当前作者）,Value（该作者引用过的作者及引用次数）
MohammedAmine KOULALI,"{'IT Almalkawi': 1, 'AB Garcia': 1, 'MH Ahmed': 1, 'SY Foo': 1, 'PJ Wolfs': 1, 'ZJ Hass': 1, 'AH Aghvami': 1, 'GM Shafiullah': 1, 'MA Razzaque': 1, 'JC Hou': 1, 'DP Agrawal': 1, 'FA Akyildiz': 1, 'MM Alam': 1, 'RG Gallager': 1, 'PK Varshney': 1, 'KR Fowler': 1, 'KR Chowdhury': 1, 'CG Lee': 1, 'JA Stankovic': 1, 'GJ Pottie': 1, 'JF Martinez': 1}"
Abdellatif KOBBANE,"{'IT Almalkawi': 1, 'AB Garcia': 1, 'MH Ahmed': 1, 'SY Foo': 1, 'PJ Wolfs': 1, 'ZJ Hass': 1, 'AH Aghvami': 1, 'GM Shafiullah': 1, 'MA Razzaque': 1, 'JC Hou': 1, 'DP Agrawal': 1, 'FA Akyildiz': 1, 'MM Alam': 1, 'RG Gallager': 1, 'PK Varshney': 1, 'KR Fowler': 1, 'KR Chowdhury': 1, 'CG Lee': 1, 'JA Stankovic': 1, 'GJ Pottie': 1, 'JF Martinez': 1}"
Hocine Cherifi,{'World Scientific': 1}
HUBIE CHEN,"{'Final Remarks': 1, 'Methodology II': 1, 'Global Preliminaries': 1, 'Introducing Qcores': 1, 'QCSPA QCSPAr': 1}"
FLORENT MADELAINE,"{'Final Remarks': 1, 'Methodology II': 1, 'Global Preliminaries': 1, 'Introducing Qcores': 1, 'QCSPA QCSPAr': 1}"
Anthony Leverrier,"{'JeanPierre Tillich': 1, 'Eli BenSasson': 1, 'Daniel Gottesman': 1, 'Prahladh Harsha': 1, 'David Poulin': 1, 'Yichen Huang': 1, 'Michael Sipser': 1, 'Alexander Lubotzky': 1, 'Larry Guth': 1, 'Lior Eldar': 1, 'Sevag Gharibian': 1}"
Paris VII,{'HB Curry': 1}
Christoph Koutschan,"{'Christoph Koutschan': 1, 'Gert Almkvist': 1, 'Peter Paule': 1, 'Abdelilah KandriRody': 1, 'Doron Zeilberger': 1, 'Gamma Insertions': 1, 'Substitution Speedup': 1, 'Future Work': 1}"
Peter Paule,"{'Christoph Koutschan': 1, 'Gert Almkvist': 1, 'Peter Paule': 1, 'Abdelilah KandriRody': 1, 'Doron Zeilberger': 1}"
Muhammad Farhan,"{'Lindasalwa Muda': 1, 'Mumtaj Begam': 1, 'FK Song': 1, 'BH Juang': 1, 'Mustafa Jamil': 1, 'IT Jolliffe': 1, 'Character Recognition': 1, 'Jianchang Mao': 1, 'LR Rabiner': 1, 'AE Rosenberg': 1, 'Tom Mitchell': 1}"
