author,h_index,total_citations,paper_count
Daniel Lund¨¦n,2,18,3
Shujun Li,2,27,3
Guanrong Chen,2,26,2
Volker Diekert,2,13,2
V. C. Barbosa,2,8,4
Sebastian Nanz,2,385,2
Marina Lenisa,2,24,2
Micha? ?opuszy¨½ski,2,16,2
St¨¦phane Gaubert,2,88,2
Daniel Va?ata,2,14,2
Clement Fumex,2,41,2
Marcel Ji?ina,2,14,2
Chiara Boldrini,2,7,2
Andrea Passarella,2,7,2
Marco Conti,2,7,2
Helge Spieker,2,13,2
Arnaud Gotlieb,2,13,2
Omid Jafari,2,11,2
Parth Nagarkar,2,11,2
Flavio Ferrarotti,2,48,2
Klaus-Dieter Schewe,2,48,2
Loredana Tec,2,48,2
Wojciech Samek,2,27,2
Alexander Russell,2,41,2
Qing Wang,2,48,2
Alexandru Cojocaru,2,52,2
L¨¦o Colisson,2,52,2
Andreas Beham,2,21,4
Bogdan Burlacu,2,7,2
David Broman,2,18,3
M¨¢rio S. Alvim,2,27,2
Barak Nehoran,2,8,2
Dinh Doan Van Bien,2,12,2
Petra Hozzov¨¢,2,5,2
Giuseppe Angora,2,11,2
Swen Jacobs,2,81,2
Massimo Brescia,2,11,2
Cosmin Badea,2,18,2
Peter Hoyer,2,71,2
Stefano Cavuoti,2,11,2
Christel Baier,2,52,2
Giuseppe Riccio,2,11,2
Lubom¨ªra Dvo?¨¢kov¨¢,2,12,2
Hao Liao,2,35,2
Piotr P?o¨½ski,2,27,2
Giuseppe Longo,2,13,2
Ali Parsai,2,15,2
Serge Demeyer,2,15,2
Hao-En Chueh,2,32,2
Mai Gehrke,2,71,2
Robert Atkey,2,134,3
Alwen F Tiu,2,72,2
Thomas Schneider,2,71,2
Jiri Adamek,2,61,2
Gert Smolka,2,52,2
Arnon Avron,2,23,3
Taolue Chen,2,130,2
Jesper Bengtson,2,143,2
Takeshi Tsukada,2,32,3
Atsushi Igarashi,2,50,2
G. Abal,2,57,2
R. Donangelo,2,57,2
Kazushige Terui,2,68,2
Samir AbdelRahman,2,16,2
Basma Hassan,2,16,2
Reem Bahgat,2,16,2
Alberto Griggio,2,36,2
Cameron E. Freer,2,31,3
Dietrich Kuske,2,39,3
Silvio Ghilardi,2,140,2
Silvio Ranise,2,140,2
Stephane Demri,2,20,2
Olivier Laurent,2,23,3
David Pichardie,2,21,2
Federico Aschieri,2,61,2
Henning Schnoor,2,55,2
Jean-Guillaume Dumas,2,25,2
Marcello Bonsangue,2,197,2
Franz Baader,2,100,2
Barbara Morawska,2,100,2
Stepan Starosta,2,19,2
Lionel Vaux,2,17,2
Stefano Gogioso,2,28,2
Bob Coecke,2,175,2
Stefano Mancini,2,35,2
Markus Lohrey,2,25,4
Ala'a Z. Al-Howaide,2,34,2
Veronique Bruyere,2,73,2
F. L. Marquezino,2,43,2
Liane Gabora,2,70,2
Riccardo Guidotti,2,24,2
Ian J. Hayes,2,31,2
A. Ukil,2,34,2
Jonathan Monta?o,2,11,2
Wim van Dam,2,82,2
Harley Eades III,2,9,2
Barnaby Martin,2,44,2
Julian Rathke,2,77,2
Dexter Kozen,2,40,4
Eckhard Hitzer,2,21,2
Michael Ummels,2,96,2
Gill Barequet,2,12,2
Alex Simpson,2,95,2
Robert Constable,2,36,2
Jakob Grue Simonsen,2,20,2
Vladimiro Sassone,2,42,2
Damiano Mazza,2,32,2
Aldo de Luca,2,31,2
Robbert Krebbers,2,70,2
Reinhard Laubenbacher,2,96,2
Martin Hofmann,2,50,2
Florent R. Madelaine,2,43,2
Marcos Faundez-Zanuy,2,12,3
Rainer Plaga,2,34,2
Pasin Manurangsi,2,16,3
Jan Legersky,2,7,2
Richard Statman,2,11,3
Jean-Francois Raskin,2,85,2
Gang Mei,2,60,2
Georg Moser,2,45,2
Ji?¨ª Srba,2,38,2
Francois Le Gall,2,36,2
